project_id,project_number,project_name,product_type,unit,quantity,unit_factor,station_code,station_name,etapp,bop,week,planned_hours,actual_hours,completed_units
P01,4501,Stålverket Borås,IQB,meter,600,1.77,11,FS IQB,ET1,BOP1,w1,48,45.2,28
P01,4501,Stålverket Borås,IQB,meter,600,1.77,12,Förmontering IQB,ET1,BOP1,w1,32,35.5,25
P01,4501,Stålverket Borås,IQB,meter,600,1.77,13,Montering IQB,ET1,BOP1,w1,28,26,22
P01,4501,Stålverket Borås,IQB,meter,600,1.77,14,Svets o montage IQB,ET1,BOP1,w1,35,38.2,20
P01,4501,Stålverket Borås,SB,styck,40,4,18,SB B/F-hall,ET1,BOP1,w1,16,14.5,4
P01,4501,Stålverket Borås,SP,styck,180,2,19,SP B/F-hall,ET1,BOP1,w1,12,13,7
P01,4501,Stålverket Borås,IQB,meter,600,1.77,11,FS IQB,ET1,BOP1,w2,48,50,32
P01,4501,Stålverket Borås,IQB,meter,600,1.77,12,Förmontering IQB,ET1,BOP1,w2,32,30,28
P01,4501,Stålverket Borås,IQP,styck,90,2.8,15,Montering IQP,ET1,BOP2,w2,25,28,9
P01,4501,Stålverket Borås,SR,styck,8,45,21,SR B/F-hall,ET1,BOP2,w2,40,42,1
P02,4502,Kontorshus Mölndal,IQB,meter,350,1.5,11,FS IQB,ET1,BOP1,w1,30,28,20
P02,4502,Kontorshus Mölndal,IQB,meter,350,1.5,12,Förmontering IQB,ET1,BOP1,w1,22,24.5,18
P02,4502,Kontorshus Mölndal,IQB,meter,350,1.5,13,Montering IQB,ET1,BOP1,w1,18,17,16
P02,4502,Kontorshus Mölndal,IQP,styck,70,2.7,15,Montering IQP,ET1,BOP1,w1,19,21,7
P02,4502,Kontorshus Mölndal,SD,styck,30,3,18,SB B/F-hall,ET1,BOP1,w1,9,8.5,3
P02,4502,Kontorshus Mölndal,IQB,meter,350,1.5,11,FS IQB,ET1,BOP1,w2,30,32,24
P02,4502,Kontorshus Mölndal,IQB,meter,350,1.5,14,Svets o montage IQB,ET1,BOP1,w2,25,23,20
P02,4502,Kontorshus Mölndal,SP,styck,120,1.75,19,SP B/F-hall,ET1,BOP2,w2,14,15.5,8
P03,4503,Lagerhall Jönköping,IQB,meter,900,1.89,11,FS IQB,ET1,BOP1,w1,72,70,40
P03,4503,Lagerhall Jönköping,IQB,meter,900,1.89,12,Förmontering IQB,ET1,BOP1,w1,48,52,35
P03,4503,Lagerhall Jönköping,IQB,meter,900,1.89,13,Montering IQB,ET1,BOP1,w1,38,36.5,30
P03,4503,Lagerhall Jönköping,IQB,meter,900,1.89,14,Svets o montage IQB,ET1,BOP1,w1,42,48,28
P03,4503,Lagerhall Jönköping,SB,styck,60,6,18,SB B/F-hall,ET1,BOP1,w1,36,38,6
P03,4503,Lagerhall Jönköping,IQB,meter,900,1.89,11,FS IQB,ET1,BOP1,w2,72,75,45
P03,4503,Lagerhall Jönköping,IQP,styck,110,2.9,15,Montering IQP,ET1,BOP2,w2,32,30,11
P03,4503,Lagerhall Jönköping,IQB,meter,900,1.89,16,Gjutning,ET1,BOP2,w2,28,35,8
P03,4503,Lagerhall Jönköping,IQB,meter,900,1.89,17,Målning,ET1,BOP2,w3,24,22,20
P04,4504,Parkering Helsingborg,IQB,meter,450,1.65,11,FS IQB,ET1,BOP1,w1,38,36,24
P04,4504,Parkering Helsingborg,IQB,meter,450,1.65,12,Förmontering IQB,ET1,BOP1,w1,25,27,20
P04,4504,Parkering Helsingborg,IQB,meter,450,1.65,13,Montering IQB,ET1,BOP1,w1,20,19,18
P04,4504,Parkering Helsingborg,IQP,styck,55,2.85,15,Montering IQP,ET1,BOP1,w1,16,18,6
P04,4504,Parkering Helsingborg,SB,styck,25,7.5,18,SB B/F-hall,ET1,BOP1,w1,19,22,3
P04,4504,Parkering Helsingborg,IQB,meter,450,1.65,11,FS IQB,ET1,BOP1,w2,38,40,28
P04,4504,Parkering Helsingborg,SP,styck,100,2,19,SP B/F-hall,ET1,BOP2,w2,12,11,6
P04,4504,Parkering Helsingborg,SR,styck,12,120,21,SR B/F-hall,ET1,BOP2,w2,60,65,1
P05,4505,Sjukhus Linköping ET2,IQB,meter,1200,1.85,11,FS IQB,ET2,BOP3,w1,95,90,50
P05,4505,Sjukhus Linköping ET2,IQB,meter,1200,1.85,12,Förmontering IQB,ET2,BOP3,w1,65,68,42
P05,4505,Sjukhus Linköping ET2,IQB,meter,1200,1.85,13,Montering IQB,ET2,BOP3,w1,50,48,38
P05,4505,Sjukhus Linköping ET2,IQB,meter,1200,1.85,14,Svets o montage IQB,ET2,BOP3,w1,58,62,35
P05,4505,Sjukhus Linköping ET2,IQP,styck,150,2.88,15,Montering IQP,ET2,BOP3,w1,30,33,10
P05,4505,Sjukhus Linköping ET2,SB,styck,50,5,18,SB B/F-hall,ET2,BOP3,w1,25,28,5
P05,4505,Sjukhus Linköping ET2,SD,styck,45,2.75,18,SB B/F-hall,ET2,BOP3,w1,12,11.5,4
P05,4505,Sjukhus Linköping ET2,IQB,meter,1200,1.85,11,FS IQB,ET2,BOP3,w2,95,98,55
P05,4505,Sjukhus Linköping ET2,IQB,meter,1200,1.85,16,Gjutning,ET2,BOP3,w2,35,40,12
P05,4505,Sjukhus Linköping ET2,IQB,meter,1200,1.85,17,Målning,ET2,BOP3,w2,28,26,25
P05,4505,Sjukhus Linköping ET2,SR,styck,20,274,21,SR B/F-hall,ET2,BOP3,w3,120,115,2
P06,4506,Skola Uppsala,IQB,meter,500,1.6,11,FS IQB,ET1,BOP1,w2,40,38,26
P06,4506,Skola Uppsala,IQB,meter,500,1.6,12,Förmontering IQB,ET1,BOP1,w2,28,30,22
P06,4506,Skola Uppsala,IQB,meter,500,1.6,13,Montering IQB,ET1,BOP1,w2,22,20,18
P06,4506,Skola Uppsala,IQP,styck,80,2.75,15,Montering IQP,ET1,BOP1,w2,22,24,8
P06,4506,Skola Uppsala,SB,styck,35,4.5,18,SB B/F-hall,ET1,BOP1,w2,16,18,4
P06,4506,Skola Uppsala,SP,styck,140,1.5,19,SP B/F-hall,ET1,BOP2,w3,14,12,10
P07,4507,Idrottshall Västerås,HSQ,meter,400,2.05,11,FS IQB,ET1,BOP1,w1,45,42,22
P07,4507,Idrottshall Västerås,HSQ,meter,400,2.05,12,Förmontering IQB,ET1,BOP1,w1,30,33,18
P07,4507,Idrottshall Västerås,HSQ,meter,400,2.05,14,Svets o montage IQB,ET1,BOP1,w1,35,32,16
P07,4507,Idrottshall Västerås,SB,styck,45,3.5,18,SB B/F-hall,ET1,BOP1,w1,16,18,5
P07,4507,Idrottshall Västerås,HSQ,meter,400,2.05,11,FS IQB,ET1,BOP1,w2,45,48,26
P07,4507,Idrottshall Västerås,HSQ,meter,400,2.05,16,Gjutning,ET1,BOP2,w2,20,22,5
P07,4507,Idrottshall Västerås,HSQ,meter,400,2.05,17,Målning,ET1,BOP2,w3,18,16,15
P08,4508,Bro E6 Halmstad,IQB,meter,800,1.8,11,FS IQB,ET1,BOP1,w1,65,62,36
P08,4508,Bro E6 Halmstad,IQB,meter,800,1.8,12,Förmontering IQB,ET1,BOP1,w1,42,45,30
P08,4508,Bro E6 Halmstad,IQB,meter,800,1.8,13,Montering IQB,ET1,BOP1,w1,35,38,25
P08,4508,Bro E6 Halmstad,IQB,meter,800,1.8,14,Svets o montage IQB,ET1,BOP1,w1,40,44,22
P08,4508,Bro E6 Halmstad,SP,styck,200,2.5,19,SP B/F-hall,ET1,BOP1,w1,20,18,8
P08,4508,Bro E6 Halmstad,IQB,meter,800,1.8,11,FS IQB,ET1,BOP1,w2,65,68,42
P08,4508,Bro E6 Halmstad,IQP,styck,95,2.93,15,Montering IQP,ET1,BOP2,w2,28,30,10
P08,4508,Bro E6 Halmstad,IQB,meter,800,1.8,16,Gjutning,ET1,BOP2,w3,22,25,8
P08,4508,Bro E6 Halmstad,SR,styck,15,180,21,SR B/F-hall,ET1,BOP2,w3,90,85,2
